SOFT_BIAS_GAMMA,TIE_ALPHA,TIE_BETA,TIE_EPSILON,CAL_FLOOR,CAL_PENALTY_GAMMA,avg_final_sp,avg_delta_sp_per_100kcal,avg_variety_count,per_budget
0.31418159310566596,0.08718667752263232,0.08144835273407967,0.19693021144459516,470.0,0.1526146644092896,47.66353967433549,-0.0004301803951607766,10.0,"[{""budget"": 500000, ""final_sp"": 47.66353967433549, ""delta_sp_per_100kcal"": -0.0004301803951607766, ""variety_count"": 10}]"
3.2172122402035614,0.33219769850967984,0.17041732378587374,0.24369615704977293,301.0,1.335185578515821,47.67621962035779,-0.0004276444059563161,10.0,"[{""budget"": 500000, ""final_sp"": 47.67621962035779, ""delta_sp_per_100kcal"": -0.0004276444059563161, ""variety_count"": 10}]"
1.4709801151056667,0.0016705535792228554,0.08725515868304368,0.1788521497753806,379.0,0.2795078458367297,47.67621962035779,-0.0004276444059563161,10.0,"[{""budget"": 500000, ""final_sp"": 47.67621962035779, ""delta_sp_per_100kcal"": -0.0004276444059563161, ""variety_count"": 10}]"
1.8927538424151797,0.44832170830694373,0.1810797304568998,0.18348810524064557,243.0,3.1602873774352065,47.67621962035779,-0.0004276444059563161,10.0,"[{""budget"": 500000, ""final_sp"": 47.67621962035779, ""delta_sp_per_100kcal"": -0.0004276444059563161, ""variety_count"": 10}]"
0.12741584890193547,0.9111505480903207,0.11468161713618544,0.33878953473540696,451.0,3.075178989919934,46.325047699908126,-0.0006978787900462492,10.0,"[{""budget"": 500000, ""final_sp"": 46.325047699908126, ""delta_sp_per_100kcal"": -0.0006978787900462492, ""variety_count"": 10}]"
2.0607729489357878,0.801496591292033,0.04137249413322228,0.6480122735714979,358.0,3.2373540985752194,47.67621962035779,-0.0004276444059563161,10.0,"[{""budget"": 500000, ""final_sp"": 47.67621962035779, ""delta_sp_per_100kcal"": -0.0004276444059563161, ""variety_count"": 10}]"
1.8915789132959286,0.3982381514678992,0.15385581798278478,0.5614769204776585,405.0,2.553413057221995,47.29577064440589,-0.0005037342011466961,10.0,"[{""budget"": 500000, ""final_sp"": 47.29577064440589, ""delta_sp_per_100kcal"": -0.0005037342011466961, ""variety_count"": 10}]"
3.9999457864390857,0.8900985705369023,0.0972272940287128,0.7016231997128324,312.0,0.12736522696440744,47.67621962035779,-0.0004276444059563161,10.0,"[{""budget"": 500000, ""final_sp"": 47.67621962035779, ""delta_sp_per_100kcal"": -0.0004276444059563161, ""variety_count"": 10}]"
4.5250390311532325,0.18146491591504088,0.16403803688676621,0.9222813206778067,397.0,0.6805075506836329,47.66353967433549,-0.0004301803951607766,10.0,"[{""budget"": 500000, ""final_sp"": 47.66353967433549, ""delta_sp_per_100kcal"": -0.0004301803951607766, ""variety_count"": 10}]"
2.021496916750237,0.39119330707130273,0.014658155624737313,0.5110903631813083,372.0,1.3444243972393362,47.67621962035779,-0.0004276444059563161,10.0,"[{""budget"": 500000, ""final_sp"": 47.67621962035779, ""delta_sp_per_100kcal"": -0.0004276444059563161, ""variety_count"": 10}]"
1.1343712174684588,0.08815729492607605,0.12566350454615854,0.11154619832735205,306.0,0.9165190579211369,47.67621962035779,-0.0004276444059563161,10.0,"[{""budget"": 500000, ""final_sp"": 47.67621962035779, ""delta_sp_per_100kcal"": -0.0004276444059563161, ""variety_count"": 10}]"
3.1919849440905876,0.7236633511192414,0.18183065512735588,0.6749207553187913,498.0,3.8562366892155273,46.325047699908126,-0.0006978787900462492,10.0,"[{""budget"": 500000, ""final_sp"": 46.325047699908126, ""delta_sp_per_100kcal"": -0.0006978787900462492, ""variety_count"": 10}]"
3.779944258345474,0.2333731840861596,0.09676229652862933,0.2598307575165145,498.0,1.7779996805962965,46.325047699908126,-0.0006978787900462492,10.0,"[{""budget"": 500000, ""final_sp"": 46.325047699908126, ""delta_sp_per_100kcal"": -0.0006978787900462492, ""variety_count"": 10}]"
4.50990094816518,0.044129856006443924,0.02694552012732672,0.2738592730381183,277.0,1.4081901217987047,47.67621962035779,-0.0004276444059563161,10.0,"[{""budget"": 500000, ""final_sp"": 47.67621962035779, ""delta_sp_per_100kcal"": -0.0004276444059563161, ""variety_count"": 10}]"
1.6315791139605096,0.43426858361265375,0.08407146334701082,0.19775875103344148,219.0,1.4202457877115164,47.67621962035779,-0.0004276444059563161,10.0,"[{""budget"": 500000, ""final_sp"": 47.67621962035779, ""delta_sp_per_100kcal"": -0.0004276444059563161, ""variety_count"": 10}]"
0.5327334292041734,0.4332003138771612,0.0017122429545738617,0.582220916745908,222.0,2.77682365879694,47.67621962035779,-0.0004276444059563161,10.0,"[{""budget"": 500000, ""final_sp"": 47.67621962035779, ""delta_sp_per_100kcal"": -0.0004276444059563161, ""variety_count"": 10}]"
2.425243602505484,0.9853481748883274,0.05250800394380999,0.525259666366339,425.0,1.3393221620938651,47.29577064440589,-0.0005037342011466961,10.0,"[{""budget"": 500000, ""final_sp"": 47.29577064440589, ""delta_sp_per_100kcal"": -0.0005037342011466961, ""variety_count"": 10}]"
2.0902021239903084,0.6391279372281128,0.19393721545317558,0.895492124310601,326.0,2.8708716294086427,47.67621962035779,-0.0004276444059563161,10.0,"[{""budget"": 500000, ""final_sp"": 47.67621962035779, ""delta_sp_per_100kcal"": -0.0004276444059563161, ""variety_count"": 10}]"
4.074311709880121,0.3721096192953053,0.046992687499693035,0.17053883032710276,464.0,0.22863685363718655,47.507026663737406,-0.0004614829972803932,10.0,"[{""budget"": 500000, ""final_sp"": 47.507026663737406, ""delta_sp_per_100kcal"": -0.0004614829972803932, ""variety_count"": 10}]"
3.112176748538401,0.5375363775056881,0.029227846732321552,0.6903385452569001,475.0,3.1045318792961485,46.325047699908126,-0.0006978787900462492,10.0,"[{""budget"": 500000, ""final_sp"": 46.325047699908126, ""delta_sp_per_100kcal"": -0.0006978787900462492, ""variety_count"": 10}]"
